epoch,utc_time,stage,base_compaction_bps,base_compaction_cost_ms,base_compaction_bytes,cumulative_compaction_bytes,base_compaction_deltas,cumulative_compaction_deltas,compaction_mem_bytes,cumulative_compaction_bps,cumulative_compaction_cost_ms,running_base,running_cumulative,wait_base,wait_cumulative,tablet_base_max_score,tablet_cumulative_max_score,process_mem_bytes,disk_read_bytes,disk_write_bytes,disk_io_time_ms,disk_avail_bytes,disk_data_used_bytes,max_disk_io_util_percent,rowset_count,cpu_idle,cpu_iowait,cpu_user,cpu_system,cpu_nice,cpu_irq,cpu_soft_irq,cpu_steal
1787905226.440765,2026-08-28T08:20:26+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275780456.0,2643102208.0,1203724288.0,33193.0,48639938560.0,3407012.0,0.0,136.0,4816039.0,3349.0,63245.0,21437.0,0.0,0.0,1485.0,0.0
1787905227.445847,2026-08-28T08:20:27+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275780456.0,2643102208.0,1203724288.0,33193.0,48639938560.0,3407012.0,0.0,136.0,4816039.0,3349.0,63245.0,21437.0,0.0,0.0,1485.0,0.0
1787905228.4509199,2026-08-28T08:20:28+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275780456.0,2643102208.0,1203724288.0,33193.0,48639938560.0,3407012.0,0.0,136.0,4816039.0,3349.0,63245.0,21437.0,0.0,0.0,1485.0,0.0
1787905229.455989,2026-08-28T08:20:29+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275780456.0,2643102208.0,1203724288.0,33193.0,48639938560.0,3407012.0,0.0,136.0,4816039.0,3349.0,63245.0,21437.0,0.0,0.0,1485.0,0.0
1787905230.46106,2026-08-28T08:20:30+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905231.466121,2026-08-28T08:20:31+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905232.471213,2026-08-28T08:20:32+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905233.476293,2026-08-28T08:20:33+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905234.481351,2026-08-28T08:20:34+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905235.481935,2026-08-28T08:20:35+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
