epoch,utc_time,stage,base_compaction_bps,base_compaction_cost_ms,base_compaction_bytes,cumulative_compaction_bytes,base_compaction_deltas,cumulative_compaction_deltas,compaction_mem_bytes,cumulative_compaction_bps,cumulative_compaction_cost_ms,running_base,running_cumulative,wait_base,wait_cumulative,tablet_base_max_score,tablet_cumulative_max_score,process_mem_bytes,disk_read_bytes,disk_write_bytes,disk_io_time_ms,disk_avail_bytes,disk_data_used_bytes,max_disk_io_util_percent,rowset_count,cpu_idle,cpu_iowait,cpu_user,cpu_system,cpu_nice,cpu_irq,cpu_soft_irq,cpu_steal
1787905285.423171,2026-08-28T08:21:25+00:00,http_log_5m_x7,1348648.0,2452.0,10094557.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,277104616.0,2643102208.0,1211879424.0,33295.0,48634007552.0,7341493.0,0.0,165.0,4863637.0,3360.0,63550.0,21533.0,0.0,0.0,1502.0,0.0
1787905286.423419,2026-08-28T08:21:26+00:00,http_log_5m_x7,2426267.0,1816.0,16926925.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,277104616.0,2643102208.0,1211879424.0,33295.0,48634007552.0,7341493.0,0.0,165.0,4863637.0,3360.0,63550.0,21533.0,0.0,0.0,1502.0,0.0
1787905287.428273,2026-08-28T08:21:27+00:00,http_log_5m_x7,2426267.0,1816.0,16926925.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,277104616.0,2643102208.0,1211879424.0,33295.0,48634007552.0,7341493.0,0.0,165.0,4863637.0,3360.0,63550.0,21533.0,0.0,0.0,1502.0,0.0
1787905288.431367,2026-08-28T08:21:28+00:00,http_log_5m_x7,2426267.0,1816.0,16926925.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,277104616.0,2643102208.0,1211879424.0,33295.0,48634007552.0,7341493.0,0.0,165.0,4863637.0,3360.0,63550.0,21533.0,0.0,0.0,1502.0,0.0
1787905289.4364538,2026-08-28T08:21:29+00:00,http_log_5m_x7,2426267.0,1816.0,16926925.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,27.0,277104616.0,2643102208.0,1211879424.0,33295.0,48634007552.0,7341493.0,0.0,165.0,4863637.0,3360.0,63550.0,21533.0,0.0,0.0,1502.0,0.0
1787905290.4415622,2026-08-28T08:21:30+00:00,http_log_5m_x7,2426267.0,1816.0,16926925.0,0.0,39.0,0.0,44100216.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,27.0,327447744.0,2643147264.0,1250336768.0,33407.0,48634007552.0,7341493.0,0.0,184.0,4874183.0,3370.0,64911.0,21604.0,0.0,0.0,1519.0,0.0
1787905291.446675,2026-08-28T08:21:31+00:00,http_log_5m_x7,2426267.0,1816.0,16926925.0,2996158.0,39.0,5.0,44100216.0,1001724.0,1991.0,0.0,0.0,0.0,0.0,12.0,27.0,327447744.0,2643147264.0,1250336768.0,33407.0,48634007552.0,7341493.0,0.0,184.0,4874183.0,3370.0,64911.0,21604.0,0.0,0.0,1519.0,0.0
1787905292.451745,2026-08-28T08:21:32+00:00,http_log_5m_x7,2426267.0,1816.0,16926925.0,2996158.0,39.0,5.0,44100216.0,1001724.0,1991.0,0.0,0.0,0.0,0.0,12.0,27.0,327447744.0,2643147264.0,1250336768.0,33407.0,48634007552.0,7341493.0,0.0,184.0,4874183.0,3370.0,64911.0,21604.0,0.0,0.0,1519.0,0.0
1787905293.45714,2026-08-28T08:21:33+00:00,http_log_5m_x7,2426267.0,1816.0,16926925.0,2996158.0,39.0,5.0,44100216.0,1001724.0,1991.0,0.0,0.0,0.0,0.0,12.0,27.0,327447744.0,2643147264.0,1250336768.0,33407.0,48634007552.0,7341493.0,0.0,184.0,4874183.0,3370.0,64911.0,21604.0,0.0,0.0,1519.0,0.0
1787905294.461587,2026-08-28T08:21:34+00:00,http_log_5m_x7,2426267.0,1816.0,16926925.0,2996158.0,39.0,5.0,44100216.0,1001724.0,1991.0,0.0,1.0,0.0,0.0,12.0,28.0,327447744.0,2643147264.0,1250336768.0,33407.0,48634007552.0,7341493.0,0.0,184.0,4874183.0,3370.0,64911.0,21604.0,0.0,0.0,1519.0,0.0
