epoch,utc_time,stage,total_versions,max_versions,total_rowsets,max_rowsets,total_segments,max_segments,data_size,num_rows
1787905272.399816,2026-08-28T08:21:12+00:00,http_log_5m_x7,7.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0
1787905277.4121778,2026-08-28T08:21:17+00:00,http_log_5m_x7,12.0,6.0,12.0,6.0,5.0,5.0,5142305.0,155.0
1787905282.415733,2026-08-28T08:21:22+00:00,http_log_5m_x7,13.0,7.0,13.0,7.0,7.0,7.0,9659440.0,310.0
1787905287.428273,2026-08-28T08:21:27+00:00,http_log_5m_x7,10.0,4.0,10.0,4.0,4.0,4.0,13198811.0,465.0
1787905292.451745,2026-08-28T08:21:32+00:00,http_log_5m_x7,11.0,5.0,11.0,5.0,5.0,5.0,17494842.0,620.0
1787905297.4746041,2026-08-28T08:21:37+00:00,http_log_5m_x7,12.0,6.0,12.0,6.0,6.0,6.0,22556542.0,775.0
1787905302.4895658,2026-08-28T08:21:42+00:00,http_log_5m_x7,13.0,7.0,13.0,7.0,7.0,7.0,27494330.0,930.0
1787905307.5129569,2026-08-28T08:21:47+00:00,http_log_5m_x7,14.0,8.0,14.0,8.0,8.0,8.0,32080503.0,1085.0
1787905312.532543,2026-08-28T08:21:52+00:00,http_log_5m_x7,11.0,5.0,11.0,5.0,5.0,5.0,35646077.0,1240.0
1787905317.554612,2026-08-28T08:21:57+00:00,http_log_5m_x7,12.0,6.0,12.0,6.0,6.0,6.0,40555976.0,1395.0
1787905322.575617,2026-08-28T08:22:02+00:00,http_log_5m_x7,13.0,7.0,13.0,7.0,7.0,7.0,45141078.0,1550.0
1787905327.601072,2026-08-28T08:22:07+00:00,http_log_5m_x7,14.0,8.0,14.0,8.0,8.0,8.0,49073290.0,1705.0
1787905332.6210518,2026-08-28T08:22:12+00:00,http_log_5m_x7,15.0,9.0,15.0,9.0,9.0,9.0,53947993.0,1860.0
1787905337.645845,2026-08-28T08:22:17+00:00,http_log_5m_x7,12.0,6.0,12.0,6.0,6.0,6.0,57134453.0,2015.0
1787905342.667676,2026-08-28T08:22:22+00:00,http_log_5m_x7,13.0,7.0,13.0,7.0,7.0,7.0,61942261.0,2170.0
1787905347.692687,2026-08-28T08:22:27+00:00,http_log_5m_x7,14.0,8.0,14.0,8.0,8.0,8.0,66752000.0,2325.0
1787905352.718061,2026-08-28T08:22:32+00:00,http_log_5m_x7,12.0,6.0,12.0,6.0,6.0,6.0,71050246.0,2511.0
1787905357.733671,2026-08-28T08:22:37+00:00,http_log_5m_x7,12.0,6.0,12.0,6.0,6.0,6.0,74671559.0,2635.0
1787905362.757952,2026-08-28T08:22:42+00:00,http_log_5m_x7,13.0,7.0,13.0,7.0,7.0,7.0,79271891.0,2790.0
1787905367.77503,2026-08-28T08:22:47+00:00,http_log_5m_x7,18.0,12.0,18.0,12.0,12.0,12.0,84687042.0,2945.0
1787905372.789454,2026-08-28T08:22:52+00:00,http_log_5m_x7,16.0,10.0,16.0,10.0,10.0,10.0,89040415.0,3131.0
1787905377.812665,2026-08-28T08:22:57+00:00,http_log_5m_x7,13.0,7.0,13.0,7.0,7.0,7.0,92861808.0,3286.0
1787905382.831795,2026-08-28T08:23:02+00:00,http_log_5m_x7,14.0,8.0,14.0,8.0,8.0,8.0,97915216.0,3441.0
1787905387.845369,2026-08-28T08:23:07+00:00,http_log_5m_x7,15.0,9.0,15.0,9.0,9.0,9.0,102129194.0,3596.0
1787905392.864513,2026-08-28T08:23:12+00:00,http_log_5m_x7,16.0,10.0,16.0,10.0,10.0,10.0,105844792.0,3751.0
1787905397.8826811,2026-08-28T08:23:17+00:00,http_log_5m_x7,17.0,11.0,17.0,11.0,11.0,11.0,111016889.0,3906.0
1787905402.90317,2026-08-28T08:23:22+00:00,http_log_5m_x7,14.0,8.0,14.0,8.0,8.0,8.0,114810211.0,4061.0
