batch,logical_second,utc_time,label,payload_bytes,rows,latency_ms,status,loaded_rows,loaded_bytes,load_time_ms
1924,1924,2026-08-28T08:53:16+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01924,527481,31,408.156,Success,31,527481,405
1925,1925,2026-08-28T08:53:17+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01925,526804,31,408.742,Success,31,526804,404
1926,1926,2026-08-28T08:53:18+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01926,526095,31,507.009,Success,31,526095,507
1927,1927,2026-08-28T08:53:19+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01927,526345,31,516.683,Success,31,526345,516
1928,1928,2026-08-28T08:53:20+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01928,526238,31,320.521,Success,31,526238,317
1929,1929,2026-08-28T08:53:21+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01929,526087,31,346.056,Success,31,526087,343
1930,1930,2026-08-28T08:53:22+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01930,526887,31,461.372,Success,31,526887,458
1931,1931,2026-08-28T08:53:23+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01931,525683,31,426.872,Success,31,525683,424
1932,1932,2026-08-28T08:53:24+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01932,526805,31,396.432,Success,31,526805,392
1933,1933,2026-08-28T08:53:25+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01933,525868,31,342.448,Success,31,525868,336
1934,1934,2026-08-28T08:53:26+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01934,525859,31,437.615,Success,31,525859,438
1935,1935,2026-08-28T08:53:27+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01935,526024,31,398.132,Success,31,526024,398
1936,1936,2026-08-28T08:53:28+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01936,526342,31,358.058,Success,31,526342,356
1937,1937,2026-08-28T08:53:29+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01937,525217,31,404.728,Success,31,525217,403
1938,1938,2026-08-28T08:53:30+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01938,526558,31,412.814,Success,31,526558,411
1939,1939,2026-08-28T08:53:31+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01939,525503,31,493.225,Success,31,525503,491
1940,1940,2026-08-28T08:53:32+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01940,524626,31,399.604,Success,31,524626,396
1941,1941,2026-08-28T08:53:33+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01941,526675,31,423.219,Success,31,526675,420
1942,1942,2026-08-28T08:53:34+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01942,525933,31,344.197,Success,31,525933,340
1943,1943,2026-08-28T08:53:35+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01943,525691,31,412.775,Success,31,525691,409
1944,1944,2026-08-28T08:53:36+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01944,525826,31,387.455,Success,31,525826,383
1945,1945,2026-08-28T08:53:37+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01945,526171,31,349.202,Success,31,526171,344
1946,1946,2026-08-28T08:53:38+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01946,525075,31,331.622,Success,31,525075,322
1947,1947,2026-08-28T08:53:39+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01947,525994,31,395.092,Success,31,525994,390
1948,1948,2026-08-28T08:53:40+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01948,526400,31,455.834,Success,31,526400,451
1949,1949,2026-08-28T08:53:41+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01949,527171,31,389.312,Success,31,527171,384
1950,1950,2026-08-28T08:53:42+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01950,525607,31,368.24,Success,31,525607,363
1951,1951,2026-08-28T08:53:43+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01951,525817,31,378.951,Success,31,525817,373
1952,1952,2026-08-28T08:53:44+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01952,525772,31,338.744,Success,31,525772,333
1953,1953,2026-08-28T08:53:45+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01953,527632,31,530.941,Success,31,527632,521
1954,1954,2026-08-28T08:53:46+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01954,526338,31,419.977,Success,31,526338,420
1955,1955,2026-08-28T08:53:47+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01955,526624,31,398.86,Success,31,526624,398
1956,1956,2026-08-28T08:53:48+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01956,526674,31,466.641,Success,31,526674,464
1957,1957,2026-08-28T08:53:49+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01957,526153,31,424.787,Success,31,526153,423
1958,1958,2026-08-28T08:53:50+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01958,526429,31,347.693,Success,31,526429,344
1959,1959,2026-08-28T08:53:51+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01959,526167,31,353.851,Success,31,526167,351
1960,1960,2026-08-28T08:53:53+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01960,526027,31,748.971,Success,31,526027,738
1961,1961,2026-08-28T08:53:53+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01961,526101,31,528.031,Success,31,526101,523
1962,1962,2026-08-28T08:53:54+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01962,526526,31,524.128,Success,31,526526,520
1963,1963,2026-08-28T08:53:55+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01963,525979,31,437.702,Success,31,525979,433
1964,1964,2026-08-28T08:53:56+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01964,525982,31,454.764,Success,31,525982,450
1965,1965,2026-08-28T08:53:57+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01965,526234,31,434.559,Success,31,526234,429
1966,1966,2026-08-28T08:53:58+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01966,526002,31,429.149,Success,31,526002,423
1967,1967,2026-08-28T08:53:59+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01967,526535,31,470.767,Success,31,526535,465
1968,1968,2026-08-28T08:54:00+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01968,525883,31,367.402,Success,31,525883,361
1969,1969,2026-08-28T08:54:01+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01969,527520,31,397.243,Success,31,527520,392
1970,1970,2026-08-28T08:54:02+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01970,526109,31,476.317,Success,31,526109,470
1971,1971,2026-08-28T08:54:03+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01971,526223,31,501.697,Success,31,526223,496
1972,1972,2026-08-28T08:54:04+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01972,526583,31,470.126,Success,31,526583,464
1973,1973,2026-08-28T08:54:05+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01973,526719,31,387.742,Success,31,526719,382
1974,1974,2026-08-28T08:54:06+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01974,526988,31,439.514,Success,31,526988,441
1975,1975,2026-08-28T08:54:07+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01975,526667,31,513.803,Success,31,526667,515
1976,1976,2026-08-28T08:54:08+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01976,527142,31,534.672,Success,31,527142,533
1977,1977,2026-08-28T08:54:09+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01977,526187,31,416.551,Success,31,526187,411
1978,1978,2026-08-28T08:54:10+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01978,526652,31,389.77,Success,31,526652,387
1979,1979,2026-08-28T08:54:11+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01979,528073,31,458.577,Success,31,528073,456
1980,1980,2026-08-28T08:54:12+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01980,526859,31,525.986,Success,31,526859,524
1981,1981,2026-08-28T08:54:13+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01981,525418,31,481.974,Success,31,525418,479
1982,1982,2026-08-28T08:54:14+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01982,527611,31,359.965,Success,31,527611,356
1983,1983,2026-08-28T08:54:15+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01983,525918,31,435.409,Success,31,525918,429
1984,1984,2026-08-28T08:54:16+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01984,527678,31,494.313,Success,31,527678,496
