epoch,utc_time,stage,total_versions,max_versions,total_rowsets,max_rowsets,total_segments,max_segments,data_size,num_rows
1787907986.3768861,2026-08-28T09:06:26+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,193915115.0,6851.0
1787907991.4022741,2026-08-28T09:06:31+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,197399864.0,7006.0
1787907996.423336,2026-08-28T09:06:36+00:00,http_log_35m_x1,6.0,6.0,6.0,6.0,6.0,6.0,201504841.0,7161.0
1787908001.445046,2026-08-28T09:06:41+00:00,http_log_35m_x1,7.0,7.0,7.0,7.0,7.0,7.0,206049187.0,7316.0
1787908006.462089,2026-08-28T09:06:46+00:00,http_log_35m_x1,8.0,8.0,8.0,8.0,8.0,8.0,210354691.0,7471.0
1787908011.482589,2026-08-28T09:06:51+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,214903330.0,7626.0
1787908016.501459,2026-08-28T09:06:56+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,219414552.0,7781.0
1787908021.5122151,2026-08-28T09:07:01+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,224811146.0,7936.0
1787908026.532675,2026-08-28T09:07:06+00:00,http_log_35m_x1,8.0,8.0,8.0,8.0,8.0,8.0,227294207.0,8091.0
1787908031.554825,2026-08-28T09:07:11+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,231567901.0,8246.0
1787908036.576491,2026-08-28T09:07:16+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,236350298.0,8401.0
1787908041.59763,2026-08-28T09:07:21+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,240908895.0,8556.0
1787908046.6137118,2026-08-28T09:07:26+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,245434806.0,8711.0
1787908051.634401,2026-08-28T09:07:31+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,250234904.0,8866.0
1787908056.6508532,2026-08-28T09:07:36+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,254820850.0,9021.0
1787908061.668677,2026-08-28T09:07:41+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,258285850.0,9176.0
1787908066.6890051,2026-08-28T09:07:46+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,262655175.0,9331.0
1787908071.706549,2026-08-28T09:07:51+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,267465765.0,9486.0
1787908076.726567,2026-08-28T09:07:56+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,271734472.0,9641.0
1787908081.739459,2026-08-28T09:08:01+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,276252850.0,9796.0
