batch,logical_second,utc_time,label,payload_bytes,rows,latency_ms,status,loaded_rows,loaded_bytes,load_time_ms
0,0,2026-08-28T09:02:45+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00000,526647,31,439.596,Success,31,526647,431
1,1,2026-08-28T09:02:46+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00001,524862,31,377.388,Success,31,524862,372
2,2,2026-08-28T09:02:48+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00002,526101,31,516.788,Success,31,526101,512
3,3,2026-08-28T09:02:48+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00003,524883,31,347.551,Success,31,524883,342
4,4,2026-08-28T09:02:49+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00004,526009,31,383.229,Success,31,526009,377
5,5,2026-08-28T09:02:50+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00005,526680,31,310.503,Success,31,526680,305
6,6,2026-08-28T09:02:51+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00006,526424,31,397.129,Success,31,526424,392
7,7,2026-08-28T09:02:53+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00007,525782,31,526.098,Success,31,525782,521
8,8,2026-08-28T09:02:53+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00008,525637,31,315.915,Success,31,525637,311
9,9,2026-08-28T09:02:54+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00009,525785,31,353.971,Success,31,525785,348
10,10,2026-08-28T09:02:55+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00010,525560,31,354.609,Success,31,525560,348
11,11,2026-08-28T09:02:56+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00011,527298,31,458.577,Success,31,527298,454
12,12,2026-08-28T09:02:57+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00012,525854,31,351.176,Success,31,525854,350
13,13,2026-08-28T09:02:58+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00013,524887,31,454.614,Success,31,524887,454
14,14,2026-08-28T09:02:59+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00014,526969,31,347.833,Success,31,526969,346
15,15,2026-08-28T09:03:00+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00015,526807,31,427.287,Success,31,526807,424
16,16,2026-08-28T09:03:01+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00016,526348,31,481.991,Success,31,526348,480
17,17,2026-08-28T09:03:02+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00017,525702,31,344.468,Success,31,525702,341
18,18,2026-08-28T09:03:03+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00018,526002,31,354.92,Success,31,526002,351
19,19,2026-08-28T09:03:04+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00019,527589,31,426.572,Success,31,527589,423
20,20,2026-08-28T09:03:05+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00020,525788,31,381.819,Success,31,525788,377
21,21,2026-08-28T09:03:06+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00021,526108,31,379.258,Success,31,526108,375
22,22,2026-08-28T09:03:07+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00022,525473,31,432.614,Success,31,525473,428
23,23,2026-08-28T09:03:08+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00023,526527,31,411.333,Success,31,526527,407
24,24,2026-08-28T09:03:09+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00024,526260,31,405.866,Success,31,526260,400
25,25,2026-08-28T09:03:10+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00025,524945,31,417.885,Success,31,524945,413
26,26,2026-08-28T09:03:11+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00026,525554,31,390.267,Success,31,525554,384
27,27,2026-08-28T09:03:12+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00027,525462,31,417.556,Success,31,525462,412
28,28,2026-08-28T09:03:13+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00028,526235,31,454.704,Success,31,526235,449
29,29,2026-08-28T09:03:14+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00029,526623,31,427.723,Success,31,526623,422
30,30,2026-08-28T09:03:15+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00030,525790,31,327.676,Success,31,525790,321
31,31,2026-08-28T09:03:16+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00031,526905,31,338.366,Success,31,526905,338
32,32,2026-08-28T09:03:17+00:00,zc_cmp_full_zstd_single_bucket_20260828_35m_x1_00032,526170,31,408.982,Success,31,526170,409
